 Date, Price, Open, High, Low, Vol., Change % 
 Jan 02 2023, 1216.92, 1200.52, 1220.76, 1193.77, 250.02K, 1.37%
 Jan 01 2023, 1200.52, 1195.69, 1204.12, 1191.67, 126.62K, 0.41%
 Dec 31 2022, 1195.67, 1200.00, 1207.71, 1193.16, 150.20K, -0.34% 
 Dec 30 2022, 1199.80, 1200.84, 1202.13, 1186.10, 285.77K, -0.09% 
 Dec 29 2022, 1200.84, 1189.99, 1205.34, 1187.19, 272.59K, 0.91% 
 Dec 28 2022, 1189.98, 1211.60, 1214.32, 1184.22, 407.45K, -1.78% 
 Dec 27 2022, 1211.60, 1228.22, 1233.15, 1202.02, 290.02K, -1.31% 
 Dec 26 2022, 1227.65, 1218.69, 1230.37, 1213.08, 177.66K, 0.73% 
 Dec 25 2022, 1218.69, 1220.46, 1223.82, 1201.20, 256.52K, -0.15% 
 Dec 24 2022, 1220.46, 1220.03, 1226.20, 1214.76, 131.51K, 0.04% 
 Dec 23 2022, 1220.03, 1217.59, 1228.46, 1212.97, 301.17K, 0.20% 
 Dec 22 2022, 1217.57, 1213.99, 1229.47, 1185.27, 383.63K, 0.31% 
 Dec 21 2022, 1213.85, 1217.19, 1218.69, 1205.48, 269.18K, -0.28% 
 Dec 20 2022, 1217.20, 1167.80, 1228.97, 1163.57, 497.61K, 4.23% 
 Dec 19 2022, 1167.80, 1182.70, 1194.47, 1152.54, 337.02K, -1.26% 
 Dec 18 2022, 1182.70, 1187.19, 1196.55, 1172.82, 272.63K, -0.38% 
 Dec 17 2022, 1187.18, 1166.70, 1189.21, 1162.76, 363.23K, 1.75% 
 Dec 16 2022, 1166.70, 1266.32, 1279.27, 1156.91, 829.23K, -7.87% 
 Dec 15 2022, 1266.32, 1307.29, 1311.07, 1260.89, 446.34K, -3.13% 
 Dec 14 2022, 1307.30, 1320.76, 1348.43, 1302.76, 614.31K, -1.02% 
 Dec 13 2022, 1320.76, 1275.49, 1345.07, 1255.82, 717.71K, 3.59% 
 Dec 12 2022, 1275.02, 1263.42, 1278.37, 1241.45, 395.62K, 0.92% 
 Dec 11 2022, 1263.42, 1266.36, 1282.86, 1258.53, 192.46K, -0.25% 
 Dec 10 2022, 1266.62, 1262.88, 1281.24, 1260.05, 193.32K, 0.30% 
 Dec 09 2022, 1262.86, 1280.29, 1291.11, 1257.00, 437.55K, -1.36% 
 Dec 08 2022, 1280.29, 1231.04, 1289.87, 1223.27, 447.07K, 4.00% 
 Dec 07 2022, 1231.04, 1271.24, 1275.30, 1221.10, 422.12K, -3.16% 
 Dec 06 2022, 1271.26, 1259.56, 1273.92, 1243.66, 342.16K, 0.93% 
 Dec 05 2022, 1259.56, 1279.21, 1303.92, 1248.69, 430.54K, -1.58% 
 Dec 04 2022, 1279.74, 1240.46, 1284.24, 1240.14, 344.96K, 3.17% 
 Dec 03 2022, 1240.46, 1295.69, 1302.61, 1237.81, 373.79K, -4.26% 
 Dec 02 2022, 1295.69, 1276.05, 1295.80, 1266.16, 393.37K, 1.54% 
